series,component,component_index,energy,energy_fraction,median_amplitude,max_amplitude,median_positive_frequency,amplitude_weighted_frequency,zero_crossings,is_imf_like
Q,IMF1,1,4087.1356420018433,0.9952033333043251,1.0023027137973228,1.1945118461826068,0.16419462698974305,0.15942821030632148,161,True
Q,IMF2,2,2.8662545839630433,0.0006979230360609441,0.0013651094912043803,0.18184790545806007,0.0048406017087101625,0.06226254759877368,98,True
Q,IMF3,3,0.7467852225038882,0.00018183960792998475,0.0006025417592108019,0.061534151910299484,0.004446455713581864,0.0661264533988364,41,True
Q,IMF4,4,3.4435985112240033,0.0008385042771062487,0.0013569314735425362,0.10968292170102846,0.0013408976614340462,0.041526661877650584,32,True
Q,IMF5,5,0.5093409855230612,0.0001240227609213347,0.0003133682092403069,0.03351698863616134,0.019520307082893627,0.05041502660953819,34,True
Q,IMF6,6,1.1857660195864608,0.00028872990734250635,0.00039616153685692135,0.054502455619892705,0.016926494381538305,0.029184427795161134,30,True
Q,residue,7,42.50244466549924,0.010349197655688765,nan,nan,nan,nan,14,False
chi_dot,IMF1,1,3473.3408024003174,0.9951605848678632,0.9233208935050992,1.0994305091870045,0.1602949295074354,0.15880660092478432,160,True
chi_dot,IMF2,2,2.0314031782819053,0.0005820253439007228,0.001118363003363701,0.15752582079947974,0.0041243828985277065,0.06879447123181359,98,True
chi_dot,IMF3,3,1.2485929126525366,0.0003577392844256686,0.0008106816323520829,0.0862344858911438,0.002409600999401897,0.05992458023575709,39,True
chi_dot,IMF4,4,1.698458580390505,0.0004866320728064416,0.0008782867342954654,0.08951817001425053,0.001385466535545453,0.0449385871828427,33,True
chi_dot,IMF5,5,1.0255002666837871,0.00029382012973501643,0.000904739480959329,0.06045424754682598,0.002418740266037471,0.03420136349255124,30,True
chi_dot,IMF6,6,0.8297921680379539,0.00023774702980276338,0.00028926800418651005,0.04373192846357512,0.02099605191878795,0.026366733079192267,27,True
chi_dot,residue,7,33.70475001770447,0.00965688098250086,nan,nan,nan,nan,14,False
U1_plus,IMF1,1,150.24027871219062,0.9847101316347963,0.016521716360838493,0.8159421697924691,0.0746824960281033,0.07561305279196066,79,True
U1_plus,IMF2,2,0.2264399187533805,0.0014841404989015192,0.0002614470980138591,0.045632619011729623,0.000979118903710083,0.05222110363802432,78,True
U1_plus,IMF3,3,0.6912318480873131,0.004530496148933142,0.0014424555802375948,0.07977306207445566,0.0009911009155677947,0.039182076194555854,27,True
U1_plus,IMF4,4,0.18917858068872914,0.0012399209232654797,0.00041930383676891674,0.033204451006026904,0.0009773359518694827,0.040561452875608556,27,True
U1_plus,IMF5,5,0.2629767173303006,0.0017236112722825707,0.0008636689369089705,0.03974986721726535,0.0010151930436856,0.032931415822810624,24,True
U1_plus,IMF6,6,0.3330135793644903,0.002182649342659759,0.0011629268938134925,0.03899858140063046,0.0010057253647493968,0.023249113936828988,21,True
U1_plus,residue,7,13.236020034030195,0.08675198915863774,nan,nan,nan,nan,4,False
U1_minus,IMF1,1,82.77380540658741,0.8557280842276496,0.0068459586893398865,0.575619634820256,0.0784338705581891,0.07897442894304707,80,True
U1_minus,IMF2,2,0.006831734735676441,7.062750405874944e-05,7.434692823921789e-06,0.008023024285631376,0.0067169029294169525,0.14820426470263567,83,True
U1_minus,IMF3,3,0.2561451342913417,0.0026480670300790586,0.000507225281347453,0.043768373924185276,0.001001764520296043,0.053945105519594784,31,True
U1_minus,IMF4,4,0.00779260202655064,8.056109502968423e-05,2.8259187053863855e-05,0.006836070707743863,0.0011043732503749225,0.09913951751487865,31,True
U1_minus,IMF5,5,0.02003217907271791,0.00020709568850434758,7.819265509060935e-05,0.010461364119811696,0.0010076034330294046,0.05676149360864478,35,True
U1_minus,IMF6,6,0.0065454000262722255,6.766733264796577e-05,4.9093976833597625e-05,0.00663933492838931,0.0012998404167236751,0.057502224543093804,38,True
U1_minus,residue,7,7.429790546424446,0.07681029522896034,nan,nan,nan,nan,5,False
helicity_asymmetry,IMF1,1,0.06775832845013988,0.005374228808003975,0.0008912789280536126,0.018526835350147142,0.3499836322956257,0.3183360953840048,457,True
helicity_asymmetry,IMF2,2,0.002834561939205226,0.00022482231749500737,0.00041201691465161743,0.0036067704759802487,0.2445956666116,0.1711875216996416,288,True
helicity_asymmetry,IMF3,3,0.002901317661047691,0.00023011702490044272,0.0008465022336868618,0.0018913144284476997,0.15775172100504276,0.13811666383883353,144,True
helicity_asymmetry,IMF4,4,0.07888022587561352,0.006256358324933083,0.0024361763782297964,0.009623048428470529,0.0034357424470128207,0.006593656733799986,51,True
helicity_asymmetry,IMF5,5,0.016284687959337928,0.001291614494664363,0.0015261942891257971,0.0037367627071359867,0.006656408326254896,0.010883583744313812,33,True
helicity_asymmetry,IMF6,6,0.9962894895710135,0.07902036249173534,0.01152815269716373,0.024717745431616985,0.003387279237269902,0.00413339567297273,9,True
helicity_asymmetry,residue,7,15.160070533248218,1.2024158454721527,nan,nan,nan,nan,1,False
