mock_id,z_global_mean,dipole_amp,dipole_frac,l_dip_deg,b_dip_deg,C2_residual,D2_residual
0,1.5073453518655011,0.005407784368844921,0.003587621351770654,353.47931199624537,63.47690684539668,3.971324371047875e-06,3.79233542564149e-06
1,1.5071826110819746,0.0051453378161984776,0.0034138781713416587,134.10339966179757,20.52888709950568,7.276021343907639e-06,6.948088577550217e-06
2,1.5077382164835982,0.0015261376318031596,0.0010122033222467978,333.6902027743619,-54.76241198394875,2.0548477377948e-06,1.9622350486274474e-06
3,1.5064647534945776,0.002146698091317868,0.0014249905856331042,68.16216481215545,35.093612513678934,3.320735068280141e-06,3.171068404892322e-06
4,1.5083832370441246,0.0026799299315115686,0.0017766903434721561,317.885330146119,13.585469493440364,9.95143836123886e-06,9.50292363639285e-06
5,1.5075566486731045,0.0032286446914522133,0.0021416407100150743,358.18827549221623,22.65110047843099,8.815653466342231e-07,8.418328954521406e-07
6,1.5068386096813156,0.004068867360606134,0.0027002675233193467,258.4896619021042,-44.50497177413176,6.411654717558084e-06,6.122679250187034e-06
7,1.508887282027646,0.0016710217055727287,0.001107452972449477,282.2802652034802,45.20409835686868,1.6193590824079126e-06,1.546374015635851e-06
8,1.5074797063081067,0.0032928399290956182,0.002184334499042742,31.620242750387032,28.679131352230765,3.2994340989356567e-06,3.150727477509381e-06
9,1.508066133987389,0.0021850948356146173,0.001448938336568262,1.6971883949097948,58.24666389500161,2.1333550756852496e-06,2.037204033992952e-06
10,1.509339070104307,0.001014238524778161,0.0006719752671002343,354.9121358033289,60.081947400968154,1.3897784986492873e-06,1.3271407071772024e-06
11,1.5082444238555448,0.0025658647779900905,0.0017012260993022185,253.36099983079134,0.888336239334592,4.255460390333666e-06,4.063665337520216e-06
12,1.5078430886882896,0.0022465605867646107,0.001489916692007356,268.5287984638645,-22.307709826914568,8.862397544337448e-06,8.462966260960679e-06
13,1.5066924377938382,0.001243336615814182,0.0008252093025931206,347.5249291403471,48.907568598849004,1.934394399857259e-06,1.8472105837593784e-06
14,1.5082388623062042,0.003931160090469128,0.0026064572321509508,294.8542271250768,-1.8650901497085945,6.086162830034925e-06,5.811857393173303e-06
15,1.509525837536686,0.0016146514814657747,0.0010696415002081963,226.96850441292148,14.268458089386836,2.125858314488533e-06,2.03004515438313e-06
16,1.5101349233886832,0.003516652009727617,0.0023287005387812557,101.76963292224538,10.261809523235465,4.1206413544654224e-06,3.934922641632329e-06
17,1.5083824641697499,0.0013762583046239463,0.000912406725293954,129.04628466561996,61.83691744603898,3.224665188919093e-06,3.0793284277970053e-06
18,1.5072685909642096,0.004129656799102132,0.00273982807301807,13.972756747144256,-1.5503874986367263,5.791971935828739e-06,5.530925783020067e-06
19,1.508550417453332,0.005817191227939624,0.0038561463777657154,210.25075208801843,4.449169950880038,1.6139608106143814e-06,1.5412190457952868e-06
20,1.5078036180385734,0.0022746166495158423,0.0015085629337292462,239.98071173868303,26.445579932174667,3.2616924483231187e-06,3.1146868559767843e-06
21,1.507817975113174,0.0030591488384342502,0.002028858183763618,296.0367065669551,31.898587018361997,3.6897861078156113e-06,3.523486188063958e-06
22,1.5097988620477345,0.003735315940323336,0.0024740487188188373,115.79316389351527,-66.18171197802336,4.231476850853523e-06,4.0407627443535895e-06
23,1.5082406783415157,0.002779799372000883,0.0018430741273054595,312.0285073010719,19.68608913815461,1.5889475003873931e-06,1.5173330940009894e-06
24,1.50785245157989,0.00268722868460885,0.0017821562592501934,205.0741723436847,-27.657086149237806,2.5290958645486125e-06,2.4151086503770938e-06
25,1.5093921909381443,0.0036973455838746213,0.0024495592372030103,44.52923813715412,-10.012304456923323,8.340257444682398e-06,7.9643591938811e-06
26,1.5082367412028035,0.0021702367843269028,0.0014389231644073072,158.46832176018404,49.74893268971885,2.0971297570154165e-06,2.0026114028046535e-06
27,1.5073474240201326,0.0032584464730250774,0.0021617089869930056,350.46464743432114,22.666283806868044,2.254313508319624e-06,2.1527108287674043e-06
28,1.5076310583464243,0.0032519965880582354,0.0021570241406574883,283.37843711648895,-24.69911569430733,7.989069586012367e-06,7.62899949191394e-06
29,1.5065010618621506,0.0017298278399315236,0.0011482420316340993,236.6106578450059,-41.083671562517296,3.833637402014302e-06,3.6608540553152863e-06
30,1.5103199748155574,0.003901456732509931,0.002583198790697569,38.39503605216893,22.88082909032398,6.35281903984243e-06,6.066495316555387e-06
31,1.5063166416017713,0.0028217566431760367,0.0018732825258940687,70.87006814213429,24.68075110404381,8.358627316146745e-06,7.981901128966182e-06
32,1.509487833823297,0.0028392604938177056,0.0018809429464736406,90.70833556930633,-2.099569295629052,2.921044781329141e-06,2.7893922956479036e-06
33,1.507574097546967,0.004455990197443233,0.002955735445901962,98.91790145519859,-44.50534461951678,1.542542559747427e-05,1.47301963988057e-05
34,1.5078292264371485,0.004699922763419816,0.00311701264374963,231.16924918450542,14.092775979675688,4.480814115261905e-06,4.278862293119219e-06
35,1.5077971098654974,0.004587061572554164,0.0030422273278951644,226.8783398590002,-0.34668979103850694,1.4939104555102413e-06,1.4265794011867195e-06
36,1.5080958865599228,0.0027786826379764236,0.00184251058751629,4.15437568476198,-11.066754419891947,1.3166244521245348e-06,1.2572837385076693e-06
37,1.5083924453700353,0.002083065272805954,0.0013809836287630977,60.56835032548733,-1.332150430865828,7.783178130160477e-06,7.43238763427865e-06
38,1.5083297774205537,0.003198874534831708,0.0021208057963970003,1.88460470813727,52.79928040457936,4.4981913082682755e-06,4.295456290103374e-06
39,1.506690817203384,0.002558654890854529,0.001698195052123387,155.1541073850798,-17.49034753276662,4.264197424225219e-06,4.072008590311029e-06
40,1.5086945053359202,0.002207651595719568,0.0014632860316728074,248.62533462950117,-28.69586634361744,2.1811024842251637e-06,2.0827994505266848e-06
41,1.5077001521288975,0.0015532343417962358,0.0010302010911142,97.99537012952784,2.059063049587308,8.547094011678e-06,8.161873566178149e-06
42,1.5087904098593345,0.004750309851337568,0.003148422617413403,82.62015075809508,8.126072643364179,4.13809870623249e-06,3.951593184594466e-06
43,1.5072074108730027,0.003743190621148578,0.0024835272134048573,286.54648034504106,-32.99910631576003,3.430109937534161e-06,3.2755137114431644e-06
44,1.5094386311872132,0.00219703004234656,0.001455527900871689,65.24144368632486,-44.611751310035096,5.288330470846568e-06,5.0499836108323306e-06
45,1.509811441321513,0.0038431424379009455,0.002545445300465538,136.34980326282246,-11.50710435020665,5.010100381593921e-06,4.784293446703581e-06
46,1.5094355927392076,0.0025880647640917995,0.001714591054127178,309.76220712494774,-17.288003142654745,5.093444142842917e-06,4.863880876175473e-06
47,1.5073121449400473,0.008216867452215204,0.005451337654114123,303.12291098768844,0.25726313793704997,2.972498238659879e-06,2.8385267280880334e-06
48,1.5076180630863427,0.0017911867834615987,0.0011880905564335997,96.26153276702905,3.318420119952494,4.0367040210070066e-06,3.8547683924531716e-06
49,1.5092499363640537,0.003658916250793308,0.0024243275832815554,235.97583673668373,-25.28214019150216,1.6183516178008764e-06,1.5454119578026515e-06
