split,model,parameter,mean,sd,q05,q16,median,q84,q95,rhat
all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,log_ydisk,-0.5472895540685584,0.02350636651173096,-0.5823708525305016,-0.5698959098991253,-0.5490893084507711,-0.5251710365439571,-0.5021079951341472,1.051862057946492
all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,ydisk,0.5786760786170085,0.013673487702692297,0.5585725024601315,0.5655843073649021,0.5774754730191265,0.5914541959028334,0.6052534426898408,
all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,log_ybul,-0.5148970074219621,0.02407427486460264,-0.5517788526455992,-0.540680155665292,-0.515173357200952,-0.4894114224025404,-0.47386059615768894,1.0542426484446787
all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,ybul,0.5977355128005998,0.014419471878935778,0.5759244139688631,0.5823520276278554,0.5973970225653272,0.6129870784905842,0.6225940390307676,
all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,log10_kappa,-0.10143627756650032,0.013549106874989416,-0.12349041332813997,-0.114312480944042,-0.10250726266656679,-0.0876240156648913,-0.07777035460789648,1.014145519980934
all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,kappa,0.7920917777755102,0.024801098387214626,0.752505340889252,0.7685772392368029,0.7897556429490967,0.8172896222026569,0.8360449840376031,
all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,bridge_exponent,0.5191514165189991,0.004890061965982973,0.5108278439621773,0.5143693688059365,0.5192956846850858,0.5237441625811405,0.5269126982811964,1.0003515784858936
all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,logpost,-11439.799934504133,12.572132920139312,-11461.23415298726,-11452.23779933219,-11439.435074524376,-11427.34721831805,-11419.567731518611,
all_Q2,RAR,log_ydisk,-0.5848162203585632,0.02808650170717682,-0.6323190065354524,-0.611984573416222,-0.5843979997951884,-0.5571145922231596,-0.5395419660447589,1.0245004719013704
all_Q2,RAR,ydisk,0.5574276913812443,0.015619895064092332,0.5313581481222307,0.5422736186788836,0.5574413406432718,0.5728596150403574,0.583015232008372,
all_Q2,RAR,log_ybul,-0.5046032738272296,0.031138238605462647,-0.5577747855324318,-0.5353883110411801,-0.5036589344439395,-0.473468974705606,-0.4541927038455278,1.0307085475591204
all_Q2,RAR,ybul,0.604037395351824,0.018774619265974863,0.5724815417723654,0.5854419125048254,0.6043154588991912,0.622837907450029,0.6349603621525098,
all_Q2,RAR,log10_gdagger,-10.04984101580487,0.007794881193227385,-10.062464721705942,-10.057539029379816,-10.049870777661344,-10.042162395640187,-10.037076160037207,1.0012305010607854
all_Q2,RAR,logpost,-11447.148363805461,12.360300594263212,-11468.026320888092,-11459.535308685938,-11446.706697173391,-11434.920972611795,-11427.632548770973,
