tag,z_lo,z_hi,bcut_deg,model,N,n_params,amp,amp_ratio_vs_baseline_common,formal_snr,snr_delta_vs_baseline_common,l_deg,b_deg,rms_resid
z1p00_1p50,1.0,1.5,10,baseline_all,194552,4,0.0020920732572757713,nan,3.4795472766020237,nan,159.01838267723434,-32.12160537793877,0.1448098973229332
z1p00_1p50,1.0,1.5,10,baseline_common,194552,4,0.0020920732572757713,1.0,3.4795472766020237,0.0,159.01838267723434,-32.12160537793877,0.1448098973229332
z1p00_1p50,1.0,1.5,10,photometry_common,194552,13,0.002363870161766252,1.1299174890483548,5.253016270264157,1.7734689936621337,295.8228019090908,-19.708266286531185,0.10805553317132423
z1p00_1p50,1.0,1.5,10,quadrupole_common,194552,10,0.0021286099092827897,1.0174643272552488,3.5112206852249277,0.03167340862290402,161.6415629005525,-30.821642835737975,0.14480790669997295
z1p00_1p50,1.0,1.5,10,photometry_plus_quadrupole_common,194552,19,0.0025107256172520087,1.200113623421291,5.528261935513768,2.0487146589117446,294.28354507446556,-17.121222931663397,0.10802915798261074
z1p00_1p50,1.0,1.5,15,baseline_all,185739,4,0.002249725268611336,nan,3.597784382639863,nan,155.9786783147774,-29.019273752159947,0.14480772612261542
z1p00_1p50,1.0,1.5,15,baseline_common,185739,4,0.002249725268611336,1.0,3.597784382639863,0.0,155.9786783147774,-29.019273752159947,0.14480772612261542
z1p00_1p50,1.0,1.5,15,photometry_common,185739,13,0.0020388097575391975,0.9062483255111732,4.4381160651334355,0.8403316824935723,284.5981671377887,-21.649017218053977,0.10804492844229267
z1p00_1p50,1.0,1.5,15,quadrupole_common,185739,10,0.002272834500794925,1.0102720241026824,3.616026380799668,0.018241998159804762,157.13518886157632,-28.28480169634889,0.1448070567432035
z1p00_1p50,1.0,1.5,15,photometry_plus_quadrupole_common,185739,19,0.002164528080672126,0.9621299590986063,4.6468699365729655,1.0490855539331023,284.44289336706515,-18.631518068204926,0.10801854081181425
z1p00_1p50,1.0,1.5,20,baseline_all,172054,4,0.0018457931985322606,nan,3.020826423743429,nan,151.0664890371381,-38.07986877715149,0.14481596657793888
z1p00_1p50,1.0,1.5,20,baseline_common,172054,4,0.0018457931985322606,1.0,3.020826423743429,0.0,151.0664890371381,-38.07986877715149,0.14481596657793888
z1p00_1p50,1.0,1.5,20,photometry_common,172054,13,0.0021302323717190316,1.1541013226253902,4.298683647040765,1.2778572232973366,287.9113354173165,-18.257141485565906,0.10803787318476815
z1p00_1p50,1.0,1.5,20,quadrupole_common,172054,10,0.001869430139750482,1.0128058447918311,3.0396938035273866,0.018867379783957805,152.22071155164136,-37.27689003853676,0.14481553830974053
z1p00_1p50,1.0,1.5,20,photometry_plus_quadrupole_common,172054,19,0.0022406555075161366,1.2139255412241539,4.46124675997113,1.4404203362277008,287.94235351383736,-15.813115402248737,0.10801538140574694
z1p00_1p50,1.0,1.5,25,baseline_all,155609,4,0.002367795740300541,nan,3.498565996530996,nan,165.2199336545578,-31.310651859745235,0.14480645546381246
z1p00_1p50,1.0,1.5,25,baseline_common,155609,4,0.002367795740300541,1.0,3.498565996530996,0.0,165.2199336545578,-31.310651859745235,0.14480645546381246
z1p00_1p50,1.0,1.5,25,photometry_common,155609,13,0.001991434905241619,0.8410501257971047,3.7381452180769394,0.23957922154594335,276.9857350930987,-18.687537129025902,0.10808871457440684
z1p00_1p50,1.0,1.5,25,quadrupole_common,155609,10,0.002433368792419899,1.0276937114985412,3.5674550792106867,0.06888908267969063,165.99987695265006,-30.450068397960102,0.1448043874133835
z1p00_1p50,1.0,1.5,25,photometry_plus_quadrupole_common,155609,19,0.0020943935302208576,0.8845330256211286,3.8623538818772256,0.3637878853462295,278.81235021105863,-16.161826958222736,0.10807043327028601
z1p00_1p50,1.0,1.5,30,baseline_all,137850,4,0.0024650096823135557,nan,3.3837647977485887,nan,152.22548392067,-30.474041252443676,0.14484516181911442
z1p00_1p50,1.0,1.5,30,baseline_common,137850,4,0.0024650096823135557,1.0,3.3837647977485887,0.0,152.22548392067,-30.474041252443676,0.14484516181911442
z1p00_1p50,1.0,1.5,30,photometry_common,137850,13,0.0017830146197607964,0.7233296617672239,2.9503536310228498,-0.433411166725739,284.84571065963985,-14.792610837532562,0.10816572218884865
z1p00_1p50,1.0,1.5,30,quadrupole_common,137850,10,0.0025291237349009082,1.0260096554781797,3.448290288411443,0.06452549066285407,153.86920713182315,-29.873405638973725,0.14484210839216496
z1p00_1p50,1.0,1.5,30,photometry_plus_quadrupole_common,137850,19,0.0019137970713985933,0.7763852146829634,3.1036872118650005,-0.2800775858835882,286.0503756616754,-12.225811451151225,0.10814878360107814
z1p00_1p50,1.0,1.5,35,baseline_all,119719,4,0.0030496633426021036,nan,3.7059359584703664,nan,145.32832847213797,-26.780929700334834,0.1448032702561915
z1p00_1p50,1.0,1.5,35,baseline_common,119719,4,0.0030496633426021036,1.0,3.7059359584703664,0.0,145.32832847213797,-26.780929700334834,0.1448032702561915
z1p00_1p50,1.0,1.5,35,photometry_common,119719,13,0.0012799701264834457,0.4197086637737923,2.106674505414276,-1.5992614530560902,280.25045267486473,-24.31766760869143,0.10823078399618041
z1p00_1p50,1.0,1.5,35,quadrupole_common,119719,10,0.0030883420383955853,1.0126829395406247,3.7324002106389487,0.02646425216858228,146.74204863852322,-26.378701349941057,0.14480051447131853
z1p00_1p50,1.0,1.5,35,photometry_plus_quadrupole_common,119719,19,0.0014001989363482167,0.45913229725662336,2.18914687569369,-1.5167890827766763,281.61805036608706,-19.952781376717777,0.10821293204602636
