model,chain,draw,depth,n_steps,logp,energy_error,divergence_energy_error,divergence_message,max_abs_z_logd,max_abs_z_logd_galaxy,z_logd_at_max,max_abs_z_logeta,max_abs_z_logeta_galaxy,z_logeta_at_max,n_latents_abs_ge_3p5,n_latents_abs_ge_3p8,ydisk,ybul,log10_gdagger,log10_kappa,bridge_exponent
RAR,1,1701,6,100,-11938.163296983026,-0.45960343762271805,2133.7860426708467,Divergence due to large energy error: 2133.7860,3.970438020196877,NGC5371,-3.970438020196877,3.97243833029045,NGC4217,-3.97243833029045,20,11,0.5541544534000029,0.5930289539498517,-10.061573193469258,,
RAR,3,997,3,8,-11928.036681840631,0.2969830726906366,1292.1450152514935,Divergence due to large energy error: 1292.1450,3.9722572190386343,NGC5371,-3.9722572190386343,3.966008536163144,NGC4217,-3.966008536163144,16,5,0.568440842524912,0.6209818304386027,-10.065557853593344,,
RAR,3,1892,5,62,-11950.350499705304,-0.01212319046317134,1051.4159741091498,Divergence due to large energy error: 1051.4160,3.9269140949489825,NGC0801,-3.9269140949489825,3.9934723085855177,IC2574,-3.9934723085855177,19,10,0.5526272343635737,0.5993041255496873,-10.053260779205688,,
PLAMB_OPTICAL_DEPTH_KAPPA_P,1,620,3,9,-11913.99704146657,-0.345533252133464,2555.0441407416893,Divergence due to large energy error: 2555.0441,3.990572075611972,NGC2915,3.990572075611972,3.9908220706740254,UGC00128,3.9908220706740254,16,8,0.5775007169751927,0.5793683180132896,,-0.1120773668448406,0.5228518554019342
PLAMB_OPTICAL_DEPTH_KAPPA_P,2,1736,6,74,-11920.152299685076,-0.021137558433110826,1871.8742349934455,Divergence due to large energy error: 1871.8742,3.950098671870486,NGC0801,-3.950098671870486,3.983227167662846,F571-8,-3.983227167662846,10,6,0.5771077660939279,0.6095618431922905,,-0.0964672398173097,0.5200171639894284
PLAMB_OPTICAL_DEPTH_KAPPA_P,3,416,6,67,-11933.449918753911,-0.19067351687954215,3915.4742835186335,Divergence due to large energy error: 3915.4743,3.997948156633096,NGC2403,3.997948156633096,3.9829754319274757,NGC2915,3.9829754319274757,16,8,0.5772464488123232,0.5777058450658664,,-0.11050120243878853,0.5187597281992127
PLAMB_OPTICAL_DEPTH_KAPPA_P,3,637,4,24,-11926.234141268396,0.024054869205428986,1050.8402080881206,Divergence due to large energy error: 1050.8402,3.9900339125692064,NGC2403,3.9900339125692064,3.985116740573665,UGC00128,3.985116740573665,18,10,0.5795905498842787,0.6035266651902667,,-0.0996462694839767,0.5201129221148272
PLAMB_OPTICAL_DEPTH_KAPPA_P,4,487,4,27,-11905.592219840571,-0.17806206991735962,272385.8510860533,Divergence due to large energy error: 272385.8511,3.9961258094439667,NGC5371,-3.9961258094439667,3.948131369971348,NGC4217,-3.948131369971348,15,8,0.6010958165333978,0.5994039372333605,,-0.10076502650850827,0.5166695396862592
PLAMB_OPTICAL_DEPTH_KAPPA_P,4,524,1,3,-11935.336352391821,0.19749876789683185,1012.913935899589,Divergence due to large energy error: 1012.9139,3.9920993357802814,NGC7814,3.9920993357802814,3.9968817385288022,IC2574,-3.9968817385288022,14,11,0.609728755373257,0.6105999308196484,,-0.11814534741865912,0.5271197118773051
