scenario,D_He_each_sigma_limit,n_scenario_rows,n_D_He_pass,minimum_Li7_H_1e10,minimum_Li_z,minimum_depletion_to_plateau_centre,minimum_suppression_to_2sigma_upper,best_delta_neff_initial,best_clock_factor,best_eta_fac,best_q_pull_chi2
su2_expansion_only,1.0,25,0,,,,,,,,
su2_expansion_only,2.0,25,16,5.555355006700839,16.421420026803354,3.8312793149660958,2.8489000034363277,1.0221714285714292,1.08,1.0,0.0
su2_expansion_only,3.0,25,24,5.555355006700839,16.421420026803354,3.8312793149660958,2.8489000034363277,1.0221714285714292,1.08,1.0,0.0
su2_plus_modest_rate_controls,1.0,1773,131,5.122271580059807,14.689086320239227,3.532601089696419,2.626805938492209,0.2743019649154951,1.022083073063074,0.9877138698627574,7.676472137796886
su2_plus_modest_rate_controls,2.0,1773,1224,5.112978223610318,14.65191289444127,3.5261918783519435,2.622040114671958,0.7937814451059851,1.0626477474919953,0.9889085458421792,6.49092918865251
su2_plus_modest_rate_controls,3.0,1773,1591,5.112978223610318,14.65191289444127,3.5261918783519435,2.622040114671958,0.7937814451059851,1.0626477474919953,0.9889085458421792,6.49092918865251
su2_plus_scanned_rate_controls,1.0,2211,161,5.00921673431056,14.23686693724224,3.454632230559007,2.568829094518236,0.0589758505723953,1.00478889318136,0.9871715745903402,20.458949493091215
su2_plus_scanned_rate_controls,2.0,2211,1505,4.923829974998345,13.895319899993378,3.395744810343686,2.525041012819664,0.5845595668960023,1.0464993357509866,0.9929821061990456,23.3766677539298
su2_plus_scanned_rate_controls,3.0,2211,1988,4.844958663840179,13.579834655360717,3.3413508026483996,2.484594186584707,0.0,1.0,1.0,50.0
all_scanned_controls,1.0,30503,1571,4.856508623896386,13.626034495585543,3.349316292342335,2.490517243023788,-0.1420349365821017,0.9883714046752152,0.9795299049255703,23.37165240913792
all_scanned_controls,2.0,30503,4715,4.74103110096854,13.164124403874158,3.269676621357614,2.431298000496687,-0.2363404000312789,0.9805743120183482,0.9673886336541946,20.7991178222404
all_scanned_controls,3.0,30503,7130,4.69411350742009,12.976454029680358,3.237319660289717,2.4072376961128668,0.531118553610228,1.0423344760152746,0.975072621116454,22.845106011395
