candidate,match_slot,control,weighted_match_distance
NGC2903,1,NGC3521,0.6080855528537417
NGC2903,2,NGC4559,0.8288501938491507
NGC5985,1,NGC5033,1.377240360260551
NGC5985,2,UGC03205,1.0971975386945032
UGC02487,1,UGC02885,1.5736079667341931
UGC02487,2,NGC6674,1.3587334629479852
UGC03580,1,UGC08699,0.7435790870928423
UGC03580,2,UGC03546,1.18552342533777
UGC06787,1,UGC05253,1.2988805628678821
UGC06787,2,UGC02916,1.681136499069651
UGC09133,1,NGC6195,1.5393938792667385
UGC09133,2,UGC06786,1.370515476651279
