scope,covariance_variant,model,N,N_release_intercepts,N_shape_parameters,parameter_name,parameter_value,parameter_sigma,chi2,BIC,delta_BIC_vs_LCDM,offsets,success
release:PantheonPlusSH0ES,released_total_primary,PETER_NOLOSS_LCONST,1580,1,0,s_fixed,0.0,,1436.6648757776115,1444.0300559036325,42.200622871695714,"{""PantheonPlusSH0ES"": -0.12290424566399825}",True
release:PantheonPlusSH0ES,released_total_primary,PETER_NOLOSS_PARTICLECOUNT,1580,1,0,s_fixed,-0.5,,2781.1900572050326,2788.555237331054,1386.725804299117,"{""PantheonPlusSH0ES"": 0.07544614029623072}",True
release:PantheonPlusSH0ES,released_total_primary,PETER_NOLOSS_CHANDRA,1580,1,0,s_fixed,-1.75,,15984.938601112068,15992.303781238088,14590.474348206151,"{""PantheonPlusSH0ES"": 0.5713221051968032}",True
release:PantheonPlusSH0ES,released_total_primary,STATIC_DUALITY_LCONST,1580,1,0,s_fixed,2.0,,18555.559785127312,18562.924965253333,17161.095532221396,"{""PantheonPlusSH0ES"": -0.916305789504914}",True
release:PantheonPlusSH0ES,released_total_primary,STATIC_DUALITY_CHANDRA,1580,1,0,s_fixed,0.25,,1608.0396213786282,1615.4048015046492,213.5753684727124,"{""PantheonPlusSH0ES"": -0.22207943864411286}",True
release:PantheonPlusSH0ES,released_total_primary,COMPOSITE_S_FREE,1580,1,1,s,0.04882327472476113,0.01490811520364084,1425.9396033890348,1440.6699636410767,38.84053060913993,"{""PantheonPlusSH0ES"": -0.1422724764349957}",True
release:PantheonPlusSH0ES,released_total_primary,FLAT_LCDM,1580,1,1,Omega_m,0.3316301903698255,,1387.0990727798949,1401.8294330319368,0.0,"{""PantheonPlusSH0ES"": -0.177378829211178}",True
release:DES_Dovekie_raw,released_total_primary,PETER_NOLOSS_LCONST,1820,1,0,s_fixed,0.0,,1667.210053899559,1674.71664567963,27.936226465627442,"{""DES_Dovekie_raw"": 0.00786567469860942}",True
release:DES_Dovekie_raw,released_total_primary,PETER_NOLOSS_PARTICLECOUNT,1820,1,0,s_fixed,-0.5,,3472.727171072019,3480.2337628520895,1833.453343638087,"{""DES_Dovekie_raw"": 0.38093141036517775}",True
release:DES_Dovekie_raw,released_total_primary,PETER_NOLOSS_CHANDRA,1820,1,0,s_fixed,-1.75,,21608.483405157865,21615.989996937937,19969.209577723934,"{""DES_Dovekie_raw"": 1.313595749531598}",True
release:DES_Dovekie_raw,released_total_primary,STATIC_DUALITY_LCONST,1820,1,0,s_fixed,2.0,,25581.058022134705,25588.564613914776,23941.784194700773,"{""DES_Dovekie_raw"": -1.484397267967663}",True
release:DES_Dovekie_raw,released_total_primary,STATIC_DUALITY_CHANDRA,1820,1,0,s_fixed,0.25,,1932.0483616980132,1939.5549534780841,292.7745342640817,"{""DES_Dovekie_raw"": -0.17866719313467463}",True
release:DES_Dovekie_raw,released_total_primary,COMPOSITE_S_FREE,1820,1,1,s,0.039941219624941966,0.0126722629409054,1657.2758220175315,1672.2890055776732,25.5085863636707,"{""DES_Dovekie_raw"": -0.0219357262669884}",True
release:DES_Dovekie_raw,released_total_primary,FLAT_LCDM,1820,1,1,Omega_m,0.32873345649950264,,1631.7672356538608,1646.7804192140024,0.0,"{""DES_Dovekie_raw"": -0.07142006978469788}",True
release:Union3p1_UNITY1p8,released_total_primary,PETER_NOLOSS_LCONST,22,1,0,s_fixed,0.0,,46.27055110255609,49.36159355591441,14.42028383185157,"{""Union3p1_UNITY1p8"": -0.014807847306313019}",True
release:Union3p1_UNITY1p8,released_total_primary,PETER_NOLOSS_PARTICLECOUNT,22,1,0,s_fixed,-0.5,,703.9097038010844,707.0007462544428,672.0594365303799,"{""Union3p1_UNITY1p8"": 0.47874689712630775}",True
release:Union3p1_UNITY1p8,released_total_primary,PETER_NOLOSS_CHANDRA,22,1,0,s_fixed,-1.75,,7844.530786057037,7847.621828510396,7812.680518786333,"{""Union3p1_UNITY1p8"": 1.7126337582078606}",True
release:Union3p1_UNITY1p8,released_total_primary,STATIC_DUALITY_LCONST,22,1,0,s_fixed,2.0,,9979.195541473271,9982.286583926629,9947.345274202566,"{""Union3p1_UNITY1p8"": -1.9890268250367995}",True
release:Union3p1_UNITY1p8,released_total_primary,STATIC_DUALITY_CHANDRA,22,1,0,s_fixed,0.25,,188.58153479696855,191.67257725032687,156.73126752626402,"{""Union3p1_UNITY1p8"": -0.2615852195226247}",True
release:Union3p1_UNITY1p8,released_total_primary,COMPOSITE_S_FREE,22,1,1,s,0.011726475819235055,0.019949407339905155,45.92502964072824,52.10711454744487,17.165804823382032,"{""Union3p1_UNITY1p8"": -0.0263831628584291}",True
release:Union3p1_UNITY1p8,released_total_primary,FLAT_LCDM,22,1,1,Omega_m,0.33395629118087833,,28.759224817346208,34.94130972406284,0.0,"{""Union3p1_UNITY1p8"": -0.052803412586639745}",True
